Entry,Entry name,Status,Protein names,Gene names,Organism,Length
O55127,CP26A_MOUSE,reviewed,Cytochrome P450 26A1 (EC 1.14.13.-) (Cytochrome P450RAI) (Retinoic acid 4-hydroxylase) (Retinoic acid-metabolizing cytochrome),Cyp26a1 Cyp26 P450ra,Mus musculus (Mouse),497
Q8R2Y3,DOLK_MOUSE,reviewed,Dolichol kinase (EC 2.7.1.108) (Transmembrane protein 15),Dolk Tmem15,Mus musculus (Mouse),534
O55070,DNSL3_MOUSE,reviewed,Deoxyribonuclease gamma (DNase gamma) (EC 3.1.21.-) (DNase I homolog protein DHP2) (Deoxyribonuclease I-like 3) (DNase I-like 3) (Liver and spleen DNase) (LS-DNase) (LSD),Dnase1l3,Mus musculus (Mouse),310
Q3V1F8,EPHX3_MOUSE,reviewed,Epoxide hydrolase 3 (EH3) (EC 3.3.2.10) (Abhydrolase domain-containing protein 9),Ephx3 Abhd9,Mus musculus (Mouse),367
P31786,ACBP_MOUSE,reviewed,Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP),Dbi,Mus musculus (Mouse),87
P47740,AL3A2_MOUSE,reviewed,Aldehyde dehydrogenase family 3 member A2 (EC 1.2.1.3) (EC 1.2.1.94) (Aldehyde dehydrogenase 3) (Fatty aldehyde dehydrogenase),Aldh3a2 Ahd-3 Ahd3 Aldh3 Aldh4,Mus musculus (Mouse),484
P70295,AUP1_MOUSE,reviewed,Lipid droplet-regulating VLDL assembly factor AUP1 (Ancient ubiquitous protein 1),Aup1,Mus musculus (Mouse),410
Q9WVK0,ATRAP_MOUSE,reviewed,Type-1 angiotensin II receptor-associated protein (AT1 receptor-associated protein),Agtrap Atrap,Mus musculus (Mouse),161
Q9ER65,CSTN2_MOUSE,reviewed,Calsyntenin-2 (Alcadein-gamma) (Alc-gamma),Clstn2 Cs2 Cstn2 Kiaa4134,Mus musculus (Mouse),966
O70152,DPM1_MOUSE,reviewed,Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase),Dpm1,Mus musculus (Mouse),260
Q61616,DRD1_MOUSE,reviewed,D(1A) dopamine receptor (Dopamine D1 receptor),Drd1 Drd1a Gpcr15,Mus musculus (Mouse),446
Q8BHI7,ELOV5_MOUSE,reviewed,Elongation of very long chain fatty acids protein 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase Elovl5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5),Elovl5,Mus musculus (Mouse),299
Q9WUA5,EPM2A_MOUSE,reviewed,Laforin (EC 3.1.3.-) (EC 3.1.3.16) (EC 3.1.3.48) (Glucan phosphatase) (Lafora PTPase) (LAFPTPase),Epm2a,Mus musculus (Mouse),330
Q8BLU0,FLRT2_MOUSE,reviewed,Leucine-rich repeat transmembrane protein FLRT2 (Fibronectin leucine rich transmembrane protein 2),Flrt2 Kiaa0405,Mus musculus (Mouse),660
Q6RKD8,FLRT1_MOUSE,reviewed,Leucine-rich repeat transmembrane protein FLRT1 (Fibronectin leucine rich transmembrane protein 1),Flrt1,Mus musculus (Mouse),646
Q00342,FLT3_MOUSE,reviewed,Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase 2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Tyrosine-protein kinase receptor flk-2) (CD antigen CD135),Flt3 Flk-2 Flt-3,Mus musculus (Mouse),1000
Q9Z2F7,BNI3L_MOUSE,reviewed,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like (NIP3-like protein X) (NIP3L),Bnip3l Nix,Mus musculus (Mouse),218
Q9D6K9,CERS5_MOUSE,reviewed,Ceramide synthase 5 (CerS5) (EC 2.3.1.-) (LAG1 longevity assurance homolog 5) (Sphingosine N-acyltransferase CERS5) (EC 2.3.1.24) (Translocating chain-associating membrane protein homolog 4) (TRAM homolog 4),Cers5 Lass5 Trh4,Mus musculus (Mouse),414
Q8VDP6,CDIPT_MOUSE,reviewed,CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase),Cdipt Pis1,Mus musculus (Mouse),213
Q1A3B0,CERS3_MOUSE,reviewed,Ceramide synthase 3 (CerS3) (mCerS3) (EC 2.3.1.-) (Dihydroceramide synthase 3) (LAG1 longevity assurance homolog 3) (Sphingosine N-acyltransferase CERS3) (EC 2.3.1.24),Cers3 Lass3,Mus musculus (Mouse),383
Q9CX98,CP2U1_MOUSE,reviewed,Cytochrome P450 2U1 (Long-chain fatty acid omega-monooxygenase) (EC 1.14.14.80),Cyp2u1,Mus musculus (Mouse),530
Q9D6I7,DIK1A_MOUSE,reviewed,Divergent protein kinase domain 1A (Protein FAM69A),Dipk1a Fam69a,Mus musculus (Mouse),428
Q8VEH5,EPMIP_MOUSE,reviewed,EPM2A-interacting protein 1 (Laforin-interacting protein),Epm2aip1 Kiaa0766,Mus musculus (Mouse),606
Q8BFZ9,ERLN2_MOUSE,reviewed,Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2),Erlin2 Spfh2,Mus musculus (Mouse),340
Q3U7R1,ESYT1_MOUSE,reviewed,Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein),Esyt1 Fam62a Mbc2,Mus musculus (Mouse),1092
O54827,AT10A_MOUSE,reviewed,Probable phospholipid-transporting ATPase VA (EC 7.6.2.1) (ATPase class V type 10A) (P-locus fat-associated ATPase) (P4-ATPase flippase complex alpha subunit ATP10A),Atp10a Atpc5 Pfatp,Mus musculus (Mouse),1508
P56593,CP2AC_MOUSE,reviewed,Cytochrome P450 2A12 (EC 1.14.14.1) (CYPIIA12) (Steroid hormones 7-alpha-hydroxylase) (Testosterone 7-alpha-hydroxylase),Cyp2a12,Mus musculus (Mouse),492
Q99J56,DERL1_MOUSE,reviewed,Derlin-1 (Degradation in endoplasmic reticulum protein 1) (Der1-like protein 1),Derl1 Der1,Mus musculus (Mouse),251
Q61070,EI24_MOUSE,reviewed,Etoposide-induced protein 2.4 (p53-induced gene 8 protein),Ei24 Pig8,Mus musculus (Mouse),340
Q8VEH8,ERLEC_MOUSE,reviewed,Endoplasmic reticulum lectin 1 (ER lectin) (Erlectin),Erlec1,Mus musculus (Mouse),483
Q99J27,ACATN_MOUSE,reviewed,Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1),Slc33a1 Acatn,Mus musculus (Mouse),550
Q9QZW0,AT11C_MOUSE,reviewed,Phospholipid-transporting ATPase 11C (EC 7.6.2.1) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C),Atp11c,Mus musculus (Mouse),1129
P11714,CP2D9_MOUSE,reviewed,Cytochrome P450 2D9 (EC 1.14.14.1) (CYPIID9) (Cytochrome P450-16-alpha) (Cytochrome P450CA) (Testosterone 16-alpha hydroxylase),Cyp2d9 Cyp2d-9,Mus musculus (Mouse),504
Q9EQ06,DHB11_MOUSE,reviewed,Estradiol 17-beta-dehydrogenase 11 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 11) (17-beta-HSD 11) (17bHSD11) (17betaHSD11) (17-beta-hydroxysteroid dehydrogenase XI) (17-beta-HSD XI) (17betaHSDXI) (Dehydrogenase/reductase SDR family member 8),Hsd17b11 Dhrs8 Pan1b,Mus musculus (Mouse),298
P59266,FITM2_MOUSE,reviewed,Fat storage-inducing transmembrane protein 2 (Fat-inducing protein 2),Fitm2 Fit2,Mus musculus (Mouse),262
Q0VAX3,FS2P1_MOUSE,reviewed,"Fatty acid desaturase 2-like protein FADS2B (Fatty acid desaturase 2B, pseudogene)",Fads2b,Mus musculus (Mouse),487
Q91W64,CP270_MOUSE,reviewed,Cytochrome P450 2C70 (EC 1.14.14.-) (CYPIIC70),Cyp2c70 Cyp2c-70 Cyp2c22,Mus musculus (Mouse),489
P56654,CP237_MOUSE,reviewed,Cytochrome P450 2C37 (EC 1.14.14.1) (CYPIIC37),Cyp2c37,Mus musculus (Mouse),490
Q8BQT2,DIK1C_MOUSE,reviewed,Divergent protein kinase domain 1C (Protein FAM69C),Dipk1c Fam69c,Mus musculus (Mouse),410
Q9D8K3,DERL3_MOUSE,reviewed,Derlin-3 (Degradation in endoplasmic reticulum protein 3) (Der1-like protein 3) (Protein IZP6),Derl3 Der3 Izp6,Mus musculus (Mouse),228
Q99JH8,ERD21_MOUSE,reviewed,ER lumen protein-retaining receptor 1 (KDEL endoplasmic reticulum protein retention receptor 1) (KDEL receptor 1),Kdelr1,Mus musculus (Mouse),212
Q61576,FKB10_MOUSE,reviewed,Peptidyl-prolyl cis-trans isomerase FKBP10 (PPIase FKBP10) (EC 5.2.1.8) (65 kDa FK506-binding protein) (65 kDa FKBP) (FKBP-65) (FK506-binding protein 10) (FKBP-10) (Immunophilin FKBP65) (Rotamase),Fkbp10 Fkbp-rs Fkbp1-rs Fkbp6 Fkbp65 Fkbprp,Mus musculus (Mouse),581
O88736,DHB7_MOUSE,reviewed,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7 (17-beta-hydroxysteroid dehydrogenase 7) (17-beta-HSD 7) (3-keto-steroid reductase) (EC 1.1.1.270) (Dihydrotestosterone oxidoreductase) (EC 1.1.1.210) (Estradiol 17-beta-dehydrogenase 7) (EC 1.1.1.62),Hsd17b7 17hsd7,Mus musculus (Mouse),334
Q6TAW2,SERP2_MOUSE,reviewed,Stress-associated endoplasmic reticulum protein 2 (Ribosome-associated membrane protein RAMP4-2),Serp2,Mus musculus (Mouse),65
P50427,STS_MOUSE,reviewed,Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Steroid sulfatase) (Steryl-sulfate sulfohydrolase),Sts,Mus musculus (Mouse),624
Q9D289,TPC6B_MOUSE,reviewed,Trafficking protein particle complex subunit 6B (TRAPP complex subunit 6B),Trappc6b,Mus musculus (Mouse),158
Q5SYH2,TM199_MOUSE,reviewed,Transmembrane protein 199,Tmem199,Mus musculus (Mouse),208
Q9ES56,TPPC4_MOUSE,reviewed,Trafficking protein particle complex subunit 4 (Synbindin) (TRS23 homolog),Trappc4 Sbdn,Mus musculus (Mouse),219
A1Y9I9,TOMT_MOUSE,reviewed,Transmembrane O-methyltransferase homolog (mTOMT) (EC 2.1.1.6) (Catechol O-methyltransferase 2) (Protein LRTOMT2),Tomt Comt2,Mus musculus (Mouse),258
Q91XT4,SC16B_MOUSE,reviewed,Protein transport protein Sec16B (Leucine zipper transcription regulator 2) (Regucalcin gene promoter region-related protein p117) (RGPR-p117) (SEC16 homolog B),Sec16b Kiaa1928 Lztr2 Rgpr,Mus musculus (Mouse),1051
Q3TIT8,SPX3_MOUSE,reviewed,Sugar phosphate exchanger 3 (Solute carrier family 37 member 3),Slc37a3 Spx3,Mus musculus (Mouse),494
O88908,SOAT2_MOUSE,reviewed,Sterol O-acyltransferase 2 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 2) (ACAT-2) (Cholesterol acyltransferase 2),Soat2 Acact-2 Acat2,Mus musculus (Mouse),525
Q9Z108,STAU1_MOUSE,reviewed,Double-stranded RNA-binding protein Staufen homolog 1,Stau1 Stau,Mus musculus (Mouse),487
Q7TNV1,TLC3B_MOUSE,reviewed,Ceramide synthase (EC 2.3.1.-) (Protein FAM57B) (TLC domain-containing protein 3B),Tlcd3b Fam57b,Mus musculus (Mouse),275
Q61165,SL9A1_MOUSE,reviewed,Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1),Slc9a1 Nhe1,Mus musculus (Mouse),820
P70302,STIM1_MOUSE,reviewed,Stromal interaction molecule 1,Stim1 Sim,Mus musculus (Mouse),685
Q3TBT3,STING_MOUSE,reviewed,Stimulator of interferon genes protein (mSTING) (Endoplasmic reticulum interferon stimulator) (ERIS) (Mediator of IRF3 activation) (MMITA) (Transmembrane protein 173),Sting1 Eris Mita Mpys Tmem173,Mus musculus (Mouse),378
Q9DC60,UBIA1_MOUSE,reviewed,UbiA prenyltransferase domain-containing protein 1 (EC 2.5.1.-),Ubiad1,Mus musculus (Mouse),336
Q9D6H5,ZDHC4_MOUSE,reviewed,Palmitoyltransferase ZDHHC4 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 4) (DHHC-4),Zdhhc4,Mus musculus (Mouse),343
A2AKQ0,S35D1_MOUSE,reviewed,UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter (UDP-GlcA/UDP-GalNAc transporter) (Solute carrier family 35 member D1),Slc35d1,Mus musculus (Mouse),355
Q8BI84,TGO1_MOUSE,reviewed,Transport and Golgi organization protein 1 homolog (TANGO1) (Melanoma inhibitory activity protein 3),Mia3 Kiaa0268 Tango,Mus musculus (Mouse),1930
Q9ER38,TOR3A_MOUSE,reviewed,Torsin-3A (ATP-dependent interferon-responsive protein) (Torsin family 3 member A),Tor3a Adir,Mus musculus (Mouse),385
G5E8G2,U17PD_MOUSE,reviewed,Ubiquitin carboxyl-terminal hydrolase 17-like protein D (EC 3.4.19.12) (Deubiquitinating enzyme 2A),Usp17ld Dub2a,Mus musculus (Mouse),545
P70691,UD12_MOUSE,reviewed,UDP-glucuronosyltransferase 1-2 (UDPGT 1-2) (UGT1*2) (UGT1-02) (UGT1.2) (EC 2.4.1.17) (Bilirubin-specific UDPGT) (UDP-glucuronosyltransferase 1A2) (UGT1A2),Ugt1a2 Ugt1,Mus musculus (Mouse),533
Q78T54,VMA21_MOUSE,reviewed,Vacuolar ATPase assembly integral membrane protein Vma21,Vma21,Mus musculus (Mouse),101
Q91XB7,YIF1A_MOUSE,reviewed,Protein YIF1A (YIP1-interacting factor homolog A),Yif1a,Mus musculus (Mouse),293
Q9CQR2,RS21_MOUSE,reviewed,40S ribosomal protein S21,Rps21,Mus musculus (Mouse),83
P62267,RS23_MOUSE,reviewed,40S ribosomal protein S23,Rps23,Mus musculus (Mouse),143
Q8K1A5,TM41B_MOUSE,reviewed,Transmembrane protein 41B (Protein stasimon),Tmem41b D7Ertd743e Kiaa0033,Mus musculus (Mouse),291
Q64310,SURF4_MOUSE,reviewed,Surfeit locus protein 4,Surf4 Surf-4,Mus musculus (Mouse),269
Q99KF1,TMED9_MOUSE,reviewed,Transmembrane emp24 domain-containing protein 9 (Glycoprotein 25L2) (p24 family protein alpha-2) (p24alpha2),Tmed9 Gp25l2,Mus musculus (Mouse),235
G5E8I7,U17LC_MOUSE,reviewed,Ubiquitin carboxyl-terminal hydrolase 17-like protein C (EC 3.4.19.12) (Deubiquitinating enzyme 2),Usp17lc DUB-2 Dub2 Usp17l5,Mus musculus (Mouse),545
Q9QY76,VAPB_MOUSE,reviewed,Vesicle-associated membrane protein-associated protein B (VAMP-B) (VAMP-associated protein B) (VAP-B) (VAMP-associated protein 33b),Vapb,Mus musculus (Mouse),243
O09114,PTGDS_MOUSE,reviewed,Prostaglandin-H2 D-isomerase (EC 5.3.99.2) (Glutathione-independent PGD synthase) (Lipocalin-type prostaglandin-D synthase) (Prostaglandin-D2 synthase) (L-PGDS) (PGD2 synthase) (PGDS2),Ptgds,Mus musculus (Mouse),189
Q3TZ89,SC31B_MOUSE,reviewed,Protein transport protein Sec31B (SEC31-like protein 2) (SEC31-related protein B),Sec31b Gm341 Sec31l2,Mus musculus (Mouse),1158
Q9BCZ4,SELS_MOUSE,reviewed,Selenoprotein S (SelS) (Minor histocompatibility antigen H47),Selenos H47 Vimp,Mus musculus (Mouse),190
Q9JIA7,SPHK2_MOUSE,reviewed,Sphingosine kinase 2 (SK 2) (SPK 2) (EC 2.7.1.91),Sphk2,Mus musculus (Mouse),617
Q8CFG0,SULF2_MOUSE,reviewed,Extracellular sulfatase Sulf-2 (mSulf-2) (EC 3.1.6.-),Sulf2,Mus musculus (Mouse),875
Q9D1D4,TMEDA_MOUSE,reviewed,Transmembrane emp24 domain-containing protein 10 (Protein Tmed10) (21 kDa transmembrane-trafficking protein) (Transmembrane protein Tmp21) (p24 family protein delta-1) (p24delta1),Tmed10 Tmp21,Mus musculus (Mouse),219
Q9CR96,TM208_MOUSE,reviewed,Transmembrane protein 208,Tmem208,Mus musculus (Mouse),173
Q61263,SOAT1_MOUSE,reviewed,Sterol O-acyltransferase 1 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 1) (ACAT-1) (Cholesterol acyltransferase 1),Soat1 Acact,Mus musculus (Mouse),540
Q9DBS1,TMM43_MOUSE,reviewed,Transmembrane protein 43 (Protein LUMA),Tmem43,Mus musculus (Mouse),400
Q8BM55,TM214_MOUSE,reviewed,Transmembrane protein 214,Tmem214,Mus musculus (Mouse),687
Q9JME7,TPC2L_MOUSE,reviewed,Trafficking protein particle complex subunit 2-like protein,Trappc2l,Mus musculus (Mouse),139
Q6P073,UB2J2_MOUSE,reviewed,Ubiquitin-conjugating enzyme E2 J2 (EC 2.3.2.23) (Non-canonical ubiquitin-conjugating enzyme 2) (NCUBE-2),Ube2j2 Ncube2,Mus musculus (Mouse),259
Q9ESP1,SDF2L_MOUSE,reviewed,Stromal cell-derived factor 2-like protein 1 (SDF2-like protein 1),Sdf2l1,Mus musculus (Mouse),221
P19324,SERPH_MOUSE,reviewed,Serpin H1 (47 kDa heat shock protein) (Collagen-binding protein) (Colligin) (Serine protease inhibitor J6),Serpinh1 Cbp1 Hsp47,Mus musculus (Mouse),417
O55242,SGMR1_MOUSE,reviewed,Sigma non-opioid intracellular receptor 1 (Sigma 1-type opioid receptor) (Sigma1-receptor) (Sigma1R),Sigmar1 Oprs1,Mus musculus (Mouse),223
P56280,TCL1A_MOUSE,reviewed,T-cell leukemia/lymphoma protein 1A (Oncogene TCL-1) (Oncogene TCL1) (Protein p14 TCL1),Tcl1a Tcl1,Mus musculus (Mouse),116
Q3U3D7,T131L_MOUSE,reviewed,Transmembrane protein 131-like,Tmem131l Kiaa0922,Mus musculus (Mouse),1597
Q3T9E4,TGTP2_MOUSE,reviewed,T-cell-specific guanine nucleotide triphosphate-binding protein 2 (EC 3.6.5.-) (Interferon-gamma-inducible GTPase Ifggb6 protein) (T-cell-specific guanine nucleotide triphosphate-binding protein),Tgtp2 Ifggb6 Irgb6 Mg21 Tgtp,Mus musculus (Mouse),415
Q9CQA1,TPPC5_MOUSE,reviewed,Trafficking protein particle complex subunit 5,Trappc5,Mus musculus (Mouse),188
Q8R317,UBQL1_MOUSE,reviewed,Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1),Ubqln1 Plic1,Mus musculus (Mouse),582
Q8VD31,TPSNR_MOUSE,reviewed,Tapasin-related protein (TAPASIN-R) (TAP-binding protein-like) (TAP-binding protein-related protein) (TAPBP-R) (Tapasin-like),Tapbpl,Mus musculus (Mouse),451
P35918,VGFR2_MOUSE,reviewed,Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase NYK) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309),Kdr Flk-1 Flk1,Mus musculus (Mouse),1367
P70280,VAMP7_MOUSE,reviewed,Vesicle-associated membrane protein 7 (VAMP-7) (Synaptobrevin-like protein 1),Vamp7 Sybl1,Mus musculus (Mouse),220
Q9QYC7,VKGC_MOUSE,reviewed,Vitamin K-dependent gamma-carboxylase (EC 4.1.1.90) (Gamma-glutamyl carboxylase) (Peptidyl-glutamate 4-carboxylase) (Vitamin K gamma glutamyl carboxylase),Ggcx,Mus musculus (Mouse),757
Q8CDG3,VCIP1_MOUSE,reviewed,Deubiquitinating protein VCIP135 (EC 3.4.19.12) (Valosin-containing protein p97/p47 complex-interacting protein 1) (Valosin-containing protein p97/p47 complex-interacting protein p135),Vcpip1 Vcip135,Mus musculus (Mouse),1220
Q3U1N2,SRBP2_MOUSE,reviewed,Sterol regulatory element-binding protein 2 (SREBP-2) (Sterol regulatory element-binding transcription factor 2) [Cleaved into: Processed sterol regulatory element-binding protein 2 (Transcription factor SREBF2)],Srebf2 Srebp2,Mus musculus (Mouse),1130
A2A6C4,SPP2C_MOUSE,reviewed,Signal peptide peptidase-like 2C (SPP-like 2C) (SPPL2c) (EC 3.4.23.-) (Intramembrane protease 5) (IMP-5),Sppl2c Imp5,Mus musculus (Mouse),690
Q9CUS9,SPPL3_MOUSE,reviewed,Signal peptide peptidase-like 3 (SPP-like 3) (EC 3.4.23.-) (Intramembrane protease 2) (IMP-2) (Presenilin-like protein 4),Sppl3 Imp2 Psl4 Usmg3,Mus musculus (Mouse),384
Q62186,SSRD_MOUSE,reviewed,Translocon-associated protein subunit delta (TRAP-delta) (Signal sequence receptor subunit delta) (SSR-delta),Ssr4,Mus musculus (Mouse),172
B1AWJ5,TMM8B_MOUSE,reviewed,Transmembrane protein 8B (Protein NGX6),Tmem8b,Mus musculus (Mouse),472
Q8K2W3,TXD11_MOUSE,reviewed,Thioredoxin domain-containing protein 11,Txndc11,Mus musculus (Mouse),948
Q9JKX8,UPK3A_MOUSE,reviewed,Uroplakin-3a (UP3a) (Uroplakin III) (UPIII),Upk3a Upk3,Mus musculus (Mouse),287
Q9CX30,YIF1B_MOUSE,reviewed,Protein YIF1B (YIP1-interacting factor homolog B),Yif1b,Mus musculus (Mouse),311
Q9DAV9,TM38B_MOUSE,reviewed,Trimeric intracellular cation channel type B (TRIC-B) (TRICB) (Mitsugumin-33B) (Transmembrane protein 38B),Tmem38b D4Ertd89e Mg33b,Mus musculus (Mouse),292
B1AQL3,TM235_MOUSE,reviewed,Transmembrane protein 235 (Claudin-27),Tmem235 Cldn27 Gm12581,Mus musculus (Mouse),211
Q62293,TGTP1_MOUSE,reviewed,T-cell-specific guanine nucleotide triphosphate-binding protein 1 (EC 3.6.5.-) (Interferon-gamma-inducible GTPase Ifggb5),Tgtp1 Ifggb5 Irgb6 Mg21,Mus musculus (Mouse),415
Q9CPV7,ZDHC6_MOUSE,reviewed,Palmitoyltransferase ZDHHC6 (EC 2.3.1.225) (Stearoyltransferase ZDHHC6) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 6) (DHHC-6),Zdhhc6,Mus musculus (Mouse),413
Q9JJZ4,UB2J1_MOUSE,reviewed,Ubiquitin-conjugating enzyme E2 J1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J1) (Non-canonical ubiquitin-conjugating enzyme 1) (NCUBE-1),Ube2j1 Ncube1,Mus musculus (Mouse),318
Q56A06,TMTC2_MOUSE,reviewed,Protein O-mannosyl-transferase TMTC2 (EC 2.4.1.109) (Transmembrane and TPR repeat-containing protein 2),Tmtc2,Mus musculus (Mouse),836
Q9CQG0,TMED6_MOUSE,reviewed,Transmembrane emp24 domain-containing protein 6 (p24 family protein gamma-5) (p24gamma5),Tmed6,Mus musculus (Mouse),239
P35441,TSP1_MOUSE,reviewed,Thrombospondin-1 (Glycoprotein G),Thbs1 Tsp1,Mus musculus (Mouse),1170
Q8C341,SUCO_MOUSE,reviewed,SUN domain-containing ossification factor (Membrane protein CH1) (Protein osteopotentia) (SUN-like protein 1),Suco Opt,Mus musculus (Mouse),1250
Q8BFZ1,TECRL_MOUSE,reviewed,"Trans-2,3-enoyl-CoA reductase-like (EC 1.3.1.-) (Steroid 5-alpha-reductase 2-like 2 protein)",Tecrl Srd5a2l2,Mus musculus (Mouse),361
Q9CQG6,TM147_MOUSE,reviewed,Transmembrane protein 147,Tmem147,Mus musculus (Mouse),224
Q7TN58,TMC8_MOUSE,reviewed,Transmembrane channel-like protein 8 (Epidermodysplasia verruciformis protein 2 homolog),Tmc8 Ever2,Mus musculus (Mouse),722
Q9R233,TPSN_MOUSE,reviewed,Tapasin (TPN) (TPSN) (TAP-associated protein) (TAP-binding protein),Tapbp Tapa,Mus musculus (Mouse),465
Q9CYC3,TM39A_MOUSE,reviewed,Transmembrane protein 39A,Tmem39a,Mus musculus (Mouse),486
Q91X86,TMM98_MOUSE,reviewed,Transmembrane protein 98,Tmem98,Mus musculus (Mouse),226
P61166,TM258_MOUSE,reviewed,Transmembrane protein 258 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258) (Oligosaccharyl transferase subunit TMEM258),Tmem258,Mus musculus (Mouse),79
P17717,UDB17_MOUSE,reviewed,UDP-glucuronosyltransferase 2B17 (UGT2B17) (EC 2.4.1.17) (M-1) (UDP-glucuronosyltransferase 2B5) (UDPGT 2B5),Ugt2b17 Ugt2b5,Mus musculus (Mouse),530
Q9D0I4,STX17_MOUSE,reviewed,Syntaxin-17,Stx17,Mus musculus (Mouse),301
Q8BXZ1,TMX3_MOUSE,reviewed,Protein disulfide-isomerase TMX3 (EC 5.3.4.1) (Thioredoxin domain-containing protein 10) (Thioredoxin-related transmembrane protein 3),Tmx3 Kiaa1830 Txndc10,Mus musculus (Mouse),456
Q8BTV1,TUSC3_MOUSE,reviewed,Tumor suppressor candidate 3 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TUSC3) (Oligosaccharyl transferase subunit TUSC3) (Magnesium uptake/transporter TUSC3) (Protein N33),Tusc3 N33,Mus musculus (Mouse),347
O54692,ZW10_MOUSE,reviewed,Centromere/kinetochore protein zw10 homolog,Zw10,Mus musculus (Mouse),779
Q60870,REEP5_MOUSE,reviewed,Receptor expression-enhancing protein 5 (GP106) (Polyposis locus protein 1 homolog) (Protein TB2 homolog),Reep5 Dp1,Mus musculus (Mouse),185
Q8BXT9,SC22C_MOUSE,reviewed,Vesicle-trafficking protein SEC22c (SEC22 vesicle trafficking protein-like 3) (SEC22 vesicle-trafficking protein homolog C),Sec22c Sec22l3,Mus musculus (Mouse),303
P36371,TAP2_MOUSE,reviewed,Antigen peptide transporter 2 (APT2) (ATP-binding cassette sub-family B member 3) (Histocompatibility antigen modifier 2),Tap2 Abcb3 Ham-2 Ham2,Mus musculus (Mouse),702
Q8R235,TM203_MOUSE,reviewed,Transmembrane protein 203,Tmem203,Mus musculus (Mouse),136
P22935,RABP2_MOUSE,reviewed,Cellular retinoic acid-binding protein 2 (Cellular retinoic acid-binding protein II) (CRABP-II),Crabp2,Mus musculus (Mouse),138
Q922P8,T132A_MOUSE,reviewed,Transmembrane protein 132A (HSPA5-binding protein 1),Tmem132a Kiaa1583,Mus musculus (Mouse),1018
O55013,TPPC3_MOUSE,reviewed,Trafficking protein particle complex subunit 3 (BET3 homolog),Trappc3 Bet3,Mus musculus (Mouse),180
Q9D2R4,TMD11_MOUSE,reviewed,Transmembrane emp24 domain-containing protein 11 (Glycoprotein 25L) (GP25L) (p24 family protein alpha-1) (p24alpha1),Tmed11,Mus musculus (Mouse),215
D3Z6P0,PDIA2_MOUSE,reviewed,Protein disulfide-isomerase A2 (EC 5.3.4.1) (PDIp),Pdia2 Pdip,Mus musculus (Mouse),527
P12815,PDCD6_MOUSE,reviewed,Programmed cell death protein 6 (ALG-257) (Apoptosis-linked gene 2 protein) (ALG-2) (PMP41),Pdcd6 Alg2,Mus musculus (Mouse),191
O09101,PIGF_MOUSE,reviewed,Phosphatidylinositol-glycan biosynthesis class F protein (PIG-F),Pigf,Mus musculus (Mouse),219
B2RXZ1,PNDC1_MOUSE,reviewed,Poly(A)-specific ribonuclease PNLDC1 (EC 3.1.13.4) (PARN-like domain-containing protein 1) (Poly(A)-specific ribonuclease domain-containing protein 1),Pnldc1,Mus musculus (Mouse),531
