Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Subcellular location [CC]
H3BKT0	unreviewed	H3BKT0_MOUSE	Protein CASP	Cux1	Mus musculus (Mouse)	676	intra-Golgi vesicle-mediated transport [GO:0006891]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; intra-Golgi vesicle-mediated transport [GO:0006891]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|ARBA:ARBA00004409}; Single-pass type IV membrane protein {ECO:0000256|ARBA:ARBA00004409}. Membrane {ECO:0000256|ARBA:ARBA00004211}; Single-pass type IV membrane protein {ECO:0000256|ARBA:ARBA00004211}.
H3BLJ7	unreviewed	H3BLJ7_MOUSE	Protein CASP	Cux1	Mus musculus (Mouse)	472	intra-Golgi vesicle-mediated transport [GO:0006891]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; intra-Golgi vesicle-mediated transport [GO:0006891]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|ARBA:ARBA00004409}; Single-pass type IV membrane protein {ECO:0000256|ARBA:ARBA00004409}. Membrane {ECO:0000256|ARBA:ARBA00004211}; Single-pass type IV membrane protein {ECO:0000256|ARBA:ARBA00004211}.
H7BWY2	unreviewed	H7BWY2_MOUSE	AP-3 complex subunit mu-1	Ap3m1	Mus musculus (Mouse)	364	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	clathrin adaptor complex [GO:0030131]; cytoplasmic vesicle membrane [GO:0030659]; Golgi apparatus [GO:0005794]	clathrin adaptor complex [GO:0030131]; cytoplasmic vesicle membrane [GO:0030659]; Golgi apparatus [GO:0005794]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000256|PIRNR:PIRNR005992}. Cytoplasmic vesicle membrane {ECO:0000256|PIRNR:PIRNR005992}; Peripheral membrane protein {ECO:0000256|PIRNR:PIRNR005992}; Cytoplasmic side {ECO:0000256|PIRNR:PIRNR005992}.
P70381	unreviewed	P70381_MOUSE	Protein CASP	Cux1 CASP Cutl1	Mus musculus (Mouse)	318	intra-Golgi vesicle-mediated transport [GO:0006891]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; intra-Golgi vesicle-mediated transport [GO:0006891]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|ARBA:ARBA00004409}; Single-pass type IV membrane protein {ECO:0000256|ARBA:ARBA00004409}. Membrane {ECO:0000256|ARBA:ARBA00004211}; Single-pass type IV membrane protein {ECO:0000256|ARBA:ARBA00004211}.
Q05C53	unreviewed	Q05C53_MOUSE	Zinc transporter	Slc30a5	Mus musculus (Mouse)	312	intracellular zinc ion homeostasis [GO:0006882]	Golgi apparatus [GO:0005794]; membrane [GO:0016020]	Golgi apparatus [GO:0005794]; membrane [GO:0016020]; zinc ion transmembrane transporter activity [GO:0005385]; intracellular zinc ion homeostasis [GO:0006882]	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000256|RuleBase:RU369017}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU369017}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
Q05D39	unreviewed	Q05D39_MOUSE	4933434E20Rik protein	4933434E20Rik	Mus musculus (Mouse)	126		Golgi apparatus [GO:0005794]; membrane [GO:0016020]; mitochondrion [GO:0005739]	Golgi apparatus [GO:0005794]; membrane [GO:0016020]; mitochondrion [GO:0005739]	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000256|ARBA:ARBA00004555}. Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}. Mitochondrion {ECO:0000256|ARBA:ARBA00004173}.
Q05DM6	unreviewed	Q05DM6_MOUSE	Tmed1 protein	Tmed1	Mus musculus (Mouse)	142	protein transport [GO:0015031]	endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]	endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; protein transport [GO:0015031]	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004115}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004115}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000256|ARBA:ARBA00004151}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004151}. Golgi apparatus, cis-Golgi network membrane {ECO:0000256|ARBA:ARBA00004619}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004619}. Membrane {ECO:0000256|ARBA:ARBA00004479, ECO:0000256|RuleBase:RU003827}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004479, ECO:0000256|RuleBase:RU003827}.
Q08EC9	unreviewed	Q08EC9_MOUSE	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt14	Mus musculus (Mouse)	550	protein glycosylation [GO:0006486]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; carbohydrate binding [GO:0030246]; polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]; protein glycosylation [GO:0006486]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|RuleBase:RU361242}; Single-pass type II membrane protein {ECO:0000256|RuleBase:RU361242}. Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
Q0VFY6	unreviewed	Q0VFY6_MOUSE	Palmitoyltransferase (EC 2.3.1.225)	Zdhhc17	Mus musculus (Mouse)	622		cytoplasmic vesicle membrane [GO:0030659]; Golgi membrane [GO:0000139]	cytoplasmic vesicle membrane [GO:0030659]; Golgi membrane [GO:0000139]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000256|ARBA:ARBA00004439}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004439}. Golgi apparatus membrane {ECO:0000256|ARBA:ARBA00004653}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004653}.
Q0VGR5	unreviewed	Q0VGR5_MOUSE	CDK5 regulatory subunit-associated protein 2	Cdk5rap2	Mus musculus (Mouse)	1822	microtubule cytoskeleton organization [GO:0000226]	Golgi apparatus [GO:0005794]; microtubule organizing center [GO:0005815]	Golgi apparatus [GO:0005794]; microtubule organizing center [GO:0005815]; microtubule cytoskeleton organization [GO:0000226]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000256|ARBA:ARBA00004300}. Golgi apparatus {ECO:0000256|ARBA:ARBA00004555}.
Q14B51	unreviewed	Q14B51_MOUSE	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt5	Mus musculus (Mouse)	930	protein glycosylation [GO:0006486]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; carbohydrate binding [GO:0030246]; polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]; protein glycosylation [GO:0006486]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|RuleBase:RU361242}; Single-pass type II membrane protein {ECO:0000256|RuleBase:RU361242}. Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
Q14BF8	unreviewed	Q14BF8_MOUSE	Trafficking protein particle complex subunit	Trappc1	Mus musculus (Mouse)	145	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; TRAPP complex [GO:0030008]	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; TRAPP complex [GO:0030008]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000256|RuleBase:RU366065}. Golgi apparatus, cis-Golgi network {ECO:0000256|RuleBase:RU366065}.
Q32MG3	unreviewed	Q32MG3_MOUSE	L-Fucosyltransferase (EC 2.4.1.-)	Fut1	Mus musculus (Mouse)	322	carbohydrate metabolic process [GO:0005975]; lipid metabolic process [GO:0006629]; protein glycosylation [GO:0006486]	Golgi cisterna membrane [GO:0032580]	Golgi cisterna membrane [GO:0032580]; galactoside 2-alpha-L-fucosyltransferase activity [GO:0008107]; carbohydrate metabolic process [GO:0005975]; lipid metabolic process [GO:0006629]; protein glycosylation [GO:0006486]	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000256|ARBA:ARBA00004447, ECO:0000256|RuleBase:RU363129}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004447, ECO:0000256|RuleBase:RU363129}. Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
Q3KNB9	unreviewed	Q3KNB9_MOUSE	Carbohydrate sulfotransferase (EC 2.8.2.-)	Chst9	Mus musculus (Mouse)	413	carbohydrate biosynthetic process [GO:0016051]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; sulfotransferase activity [GO:0008146]; carbohydrate biosynthetic process [GO:0016051]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|ARBA:ARBA00004323, ECO:0000256|RuleBase:RU364020}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004323, ECO:0000256|RuleBase:RU364020}. Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
Q3KQQ1	unreviewed	Q3KQQ1_MOUSE	NSFL1 cofactor p47 (p97 cofactor p47)	Nsfl1c	Mus musculus (Mouse)	369		Golgi stack [GO:0005795]	Golgi stack [GO:0005795]	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack {ECO:0000256|ARBA:ARBA00004348}.
Q3SWS0	unreviewed	Q3SWS0_MOUSE	Fucosyltransferase (EC 2.4.1.-)	Fut7	Mus musculus (Mouse)	342	protein glycosylation [GO:0006486]	Golgi cisterna membrane [GO:0032580]	Golgi cisterna membrane [GO:0032580]; fucosyltransferase activity [GO:0008417]; protein glycosylation [GO:0006486]	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000256|RuleBase:RU003832}; Single-pass type II membrane protein {ECO:0000256|RuleBase:RU003832}. Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
Q3TB03	unreviewed	Q3TB03_MOUSE	ADP-ribosylation factor-binding protein GGA1	Gga1	Mus musculus (Mouse)	388	intracellular protein transport [GO:0006886]	early endosome membrane [GO:0031901]; trans-Golgi network [GO:0005802]	early endosome membrane [GO:0031901]; trans-Golgi network [GO:0005802]; phosphatidylinositol binding [GO:0035091]; small GTPase binding [GO:0031267]; ubiquitin binding [GO:0043130]; intracellular protein transport [GO:0006886]	SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000256|ARBA:ARBA00004220}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004220}. Endosome membrane {ECO:0000256|ARBA:ARBA00004481}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004481}. Golgi apparatus, trans-Golgi network membrane {ECO:0000256|ARBA:ARBA00004150}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004150}.
Q3TDU1	unreviewed	Q3TDU1_MOUSE	Coatomer subunit delta	Arcn1	Mus musculus (Mouse)	284	protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	COPI vesicle coat [GO:0030126]; Golgi membrane [GO:0000139]	COPI vesicle coat [GO:0030126]; Golgi membrane [GO:0000139]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|RuleBase:RU364018, ECO:0000256|RuleBase:RU366052}. Cytoplasmic vesicle, COPI-coated vesicle membrane {ECO:0000256|RuleBase:RU364018, ECO:0000256|RuleBase:RU366052}; Peripheral membrane protein {ECO:0000256|RuleBase:RU364018, ECO:0000256|RuleBase:RU366052}; Cytoplasmic side {ECO:0000256|RuleBase:RU364018, ECO:0000256|RuleBase:RU366052}. Golgi apparatus membrane {ECO:0000256|RuleBase:RU364018, ECO:0000256|RuleBase:RU366052}; Peripheral membrane protein {ECO:0000256|RuleBase:RU364018, ECO:0000256|RuleBase:RU366052}; Cytoplasmic side {ECO:0000256|RuleBase:RU364018, ECO:0000256|RuleBase:RU366052}. Membrane {ECO:0000256|ARBA:ARBA00004287}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004287}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004287}.
Q3TE16	unreviewed	Q3TE16_MOUSE	Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein)	Cd14	Mus musculus (Mouse)	113		extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004609}; Lipid-anchor, GPI-anchor {ECO:0000256|ARBA:ARBA00004609}. Golgi apparatus {ECO:0000256|ARBA:ARBA00004555}. Membrane raft {ECO:0000256|ARBA:ARBA00004285}. Secreted {ECO:0000256|ARBA:ARBA00004613}.
Q3TI63	unreviewed	Q3TI63_MOUSE	Sorting nexin-1	Snx1	Mus musculus (Mouse)	522	intracellular protein transport [GO:0006886]	early endosome membrane [GO:0031901]; Golgi apparatus [GO:0005794]; lamellipodium [GO:0030027]	early endosome membrane [GO:0031901]; Golgi apparatus [GO:0005794]; lamellipodium [GO:0030027]; phosphatidylinositol binding [GO:0035091]; intracellular protein transport [GO:0006886]	SUBCELLULAR LOCATION: Cell projection, lamellipodium {ECO:0000256|ARBA:ARBA00004510}. Early endosome membrane {ECO:0000256|ARBA:ARBA00004469}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004469}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004469}. Endosome membrane {ECO:0000256|ARBA:ARBA00004125}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004125}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004125}. Golgi apparatus, trans-Golgi network membrane {ECO:0000256|ARBA:ARBA00004546}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004546}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004546}. Membrane {ECO:0000256|ARBA:ARBA00004287}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004287}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004287}.
Q3TIL4	unreviewed	Q3TIL4_MOUSE	Golgi phosphoprotein 3	Golph3	Mus musculus (Mouse)	162		Golgi cisterna membrane [GO:0032580]	Golgi cisterna membrane [GO:0032580]; phosphatidylinositol-4-phosphate binding [GO:0070273]	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000256|ARBA:ARBA00004344}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004344}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004344}. Golgi apparatus, trans-Golgi network membrane {ECO:0000256|ARBA:ARBA00004546}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004546}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004546}. Membrane {ECO:0000256|ARBA:ARBA00004287}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004287}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004287}.
Q3TIV9	unreviewed	Q3TIV9_MOUSE	AP complex subunit sigma	Ap1s2	Mus musculus (Mouse)	157	intracellular protein transport [GO:0006886]	AP-1 adaptor complex [GO:0030121]; clathrin-coated pit [GO:0005905]	AP-1 adaptor complex [GO:0030121]; clathrin-coated pit [GO:0005905]; clathrin adaptor activity [GO:0035615]; intracellular protein transport [GO:0006886]	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000256|ARBA:ARBA00004180}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004180}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004180}. Golgi apparatus {ECO:0000256|ARBA:ARBA00004555}. Membrane, clathrin-coated pit {ECO:0000256|ARBA:ARBA00004600}.
Q3TJT1	unreviewed	Q3TJT1_MOUSE	Vacuolar protein sorting-associated protein 53 homolog	Vps53	Mus musculus (Mouse)	832	retrograde transport, endosome to Golgi [GO:0042147]	cytosol [GO:0005829]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]	cytosol [GO:0005829]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]; retrograde transport, endosome to Golgi [GO:0042147]	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000256|ARBA:ARBA00004481}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004481}. Golgi apparatus, trans-Golgi network membrane {ECO:0000256|ARBA:ARBA00004150}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004150}. Membrane {ECO:0000256|ARBA:ARBA00004170}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004170}.
Q3TLZ3	unreviewed	Q3TLZ3_MOUSE	Vacuolar protein sorting-associated protein 53 homolog	Vps53	Mus musculus (Mouse)	832	retrograde transport, endosome to Golgi [GO:0042147]	cytosol [GO:0005829]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]	cytosol [GO:0005829]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]; retrograde transport, endosome to Golgi [GO:0042147]	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000256|ARBA:ARBA00004481}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004481}. Golgi apparatus, trans-Golgi network membrane {ECO:0000256|ARBA:ARBA00004150}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004150}. Membrane {ECO:0000256|ARBA:ARBA00004170}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004170}.
Q3TPM8	unreviewed	Q3TPM8_MOUSE	Beta-1,4-galactosyltransferase (Beta-1,4-GalTase) (EC 2.4.1.-)	B4galt6	Mus musculus (Mouse)	382	carbohydrate metabolic process [GO:0005975]; protein glycosylation [GO:0006486]	Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]	Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]; protein glycosylation [GO:0006486]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|RuleBase:RU368121}; Single-pass type II membrane protein {ECO:0000256|RuleBase:RU368121}. Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
Q3TQ34	unreviewed	Q3TQ34_MOUSE	Beta-1,4-galactosyltransferase (Beta-1,4-GalTase) (EC 2.4.1.-)	B4galt6	Mus musculus (Mouse)	382	carbohydrate metabolic process [GO:0005975]; protein glycosylation [GO:0006486]	Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]	Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]; protein glycosylation [GO:0006486]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|RuleBase:RU368121}; Single-pass type II membrane protein {ECO:0000256|RuleBase:RU368121}. Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
Q3TQH4	unreviewed	Q3TQH4_MOUSE	Carbohydrate sulfotransferase (EC 2.8.2.-)	Chst12	Mus musculus (Mouse)	399	carbohydrate biosynthetic process [GO:0016051]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; sulfotransferase activity [GO:0008146]; carbohydrate biosynthetic process [GO:0016051]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|ARBA:ARBA00004323, ECO:0000256|RuleBase:RU364020}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004323, ECO:0000256|RuleBase:RU364020}. Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
Q3TQN1	unreviewed	Q3TQN1_MOUSE	Protein-tyrosine sulfotransferase (EC 2.8.2.20)	Tpst2	Mus musculus (Mouse)	390	peptidyl-tyrosine sulfation [GO:0006478]	endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]	endoplasmic reticulum [GO:0005783]; Golgi membrane [GO:0000139]; protein homodimerization activity [GO:0042803]; protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|ARBA:ARBA00004323}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004323}.
Q3TR20	unreviewed	Q3TR20_MOUSE	Conserved oligomeric Golgi complex subunit 7 (Component of oligomeric Golgi complex 7)	Cog7	Mus musculus (Mouse)	721	intracellular protein transport [GO:0006886]	Golgi membrane [GO:0000139]; Golgi transport complex [GO:0017119]	Golgi membrane [GO:0000139]; Golgi transport complex [GO:0017119]; intracellular protein transport [GO:0006886]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|ARBA:ARBA00004395}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004395}. Membrane {ECO:0000256|ARBA:ARBA00004170}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004170}.
Q3TRA2	unreviewed	Q3TRA2_MOUSE	Uronyl 2-sulfotransferase	Ust	Mus musculus (Mouse)	406		Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; sulfotransferase activity [GO:0008146]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|ARBA:ARBA00004323}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004323}. Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
Q3TVJ9	unreviewed	Q3TVJ9_MOUSE	Hexosyltransferase (EC 2.4.1.-)	B3gnt2 B3gnt1	Mus musculus (Mouse)	397	poly-N-acetyllactosamine biosynthetic process [GO:0030311]; protein glycosylation [GO:0006486]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity [GO:0008532]; poly-N-acetyllactosamine biosynthetic process [GO:0030311]; protein glycosylation [GO:0006486]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|RuleBase:RU363063}; Single-pass type II membrane protein {ECO:0000256|RuleBase:RU363063}. Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
Q3TVV9	unreviewed	Q3TVV9_MOUSE	ADP-ribosylation factor-binding protein GGA2	Gga2	Mus musculus (Mouse)	603	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	early endosome membrane [GO:0031901]; trans-Golgi network [GO:0005802]	early endosome membrane [GO:0031901]; trans-Golgi network [GO:0005802]; phosphatidylinositol binding [GO:0035091]; small GTPase binding [GO:0031267]; ubiquitin binding [GO:0043130]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000256|ARBA:ARBA00004220}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004220}. Endosome membrane {ECO:0000256|ARBA:ARBA00004481}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004481}. Golgi apparatus, trans-Golgi network membrane {ECO:0000256|ARBA:ARBA00004150}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004150}. Membrane {ECO:0000256|ARBA:ARBA00004170}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004170}.
Q3TW73	unreviewed	Q3TW73_MOUSE	GOLD domain-containing protein	Tmed5	Mus musculus (Mouse)	158	protein transport [GO:0015031]	endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]	endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; protein transport [GO:0015031]	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004115}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004115}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000256|ARBA:ARBA00004151}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004151}. Golgi apparatus, cis-Golgi network membrane {ECO:0000256|ARBA:ARBA00004619}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004619}. Membrane {ECO:0000256|ARBA:ARBA00004479, ECO:0000256|RuleBase:RU003827}; Single-pass type I membrane protein {ECO:0000256|ARBA:ARBA00004479, ECO:0000256|RuleBase:RU003827}.
Q3TX19	unreviewed	Q3TX19_MOUSE	Vacuolar protein sorting-associated protein 53 homolog	Vps53	Mus musculus (Mouse)	832	retrograde transport, endosome to Golgi [GO:0042147]	cytosol [GO:0005829]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]	cytosol [GO:0005829]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]; retrograde transport, endosome to Golgi [GO:0042147]	SUBCELLULAR LOCATION: Endosome membrane {ECO:0000256|ARBA:ARBA00004481}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004481}. Golgi apparatus, trans-Golgi network membrane {ECO:0000256|ARBA:ARBA00004150}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004150}. Membrane {ECO:0000256|ARBA:ARBA00004170}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004170}.
Q3TXV9	unreviewed	Q3TXV9_MOUSE	Polypeptide N-acetylgalactosaminyltransferase (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase)	Galnt10	Mus musculus (Mouse)	603	protein glycosylation [GO:0006486]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; carbohydrate binding [GO:0030246]; polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]; protein glycosylation [GO:0006486]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000256|RuleBase:RU361242}; Single-pass type II membrane protein {ECO:0000256|RuleBase:RU361242}. Membrane {ECO:0000256|ARBA:ARBA00004606}; Single-pass type II membrane protein {ECO:0000256|ARBA:ARBA00004606}.
